X,Y,ID,X_MIN,X_MAX,Y_MIN,Y_MAX,PNTCNT,X,Y
581879,5205784,0,581379.000000000000000,582379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,581879.000,5205784
582879,5205784,1,582379.000000000000000,583379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,582879.000,5205784
583879,5205784,2,583379.000000000000000,584379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,583879.000,5205784
584879,5205784,3,584379.000000000000000,585379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,584879.000,5205784
585879,5205784,4,585379.000000000000000,586379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,585879.000,5205784
586879,5205784,5,586379.000000000000000,587379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,586879.000,5205784
587879,5205784,6,587379.000000000000000,588379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,587879.000,5205784
588879,5205784,7,588379.000000000000000,589379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,588879.000,5205784
589879,5205784,8,589379.000000000000000,590379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,589879.000,5205784
590879,5205784,9,590379.000000000000000,591379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,590879.000,5205784
591879,5205784,10,591379.000000000000000,592379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,591879.000,5205784
592879,5205784,11,592379.000000000000000,593379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,592879.000,5205784
593879,5205784,12,593379.000000000000000,594379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,593879.000,5205784
594879,5205784,13,594379.000000000000000,595379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,594879.000,5205784
595879,5205784,14,595379.000000000000000,596379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,595879.000,5205784
596879,5205784,15,596379.000000000000000,597379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,596879.000,5205784
597879,5205784,16,597379.000000000000000,598379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,597879.000,5205784
